Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.7931769722814499,0.6231454005934718,0.5614973262032086,0.5907172995780591,0.8345416755102992
Decision Tree,0.7107320540156361,0.45965770171149145,0.5026737967914439,0.48020434227330777,0.6451770710924518
Random Forest,0.7810945273631841,0.613013698630137,0.4786096256684492,0.5375375375375375,0.8108385834312605
Gradient Boosting,0.7974413646055437,0.6440129449838188,0.5320855614973262,0.582723279648609,0.8392447624125774
Support Vector Machine,0.7846481876332623,0.624561403508772,0.47593582887700536,0.5402124430955993,0.7846506463185468
K-Nearest Neighbours,0.7604832977967306,0.5501355013550135,0.5427807486631016,0.5464333781965006,0.7816623613275284
